Date,FIPS,Week,Dist_Total,Dist_Janssen,Dist_Moderna,Dist_Pfizer,Given_Total,Given_Janssen,Given_Moderna,Given_Pfizer
2021-10-27,49,43,4328350,195700,1592040,2540610,3657672,150558,1319403,2187458
2021-10-27,21,43,6240815,310500,2665520,3264795,5262162,205908,2137697,2917075
2021-10-27,32,43,4267880,211600,1531060,2525220,3597492,156431,1245093,2195667
2021-10-27,23,43,2327320,127900,961380,1238040,1938217,121121,758624,1056989
2021-10-27,47,43,9213340,419100,3585220,5209020,7364052,214890,2757791,4358094
2021-10-27,44,43,1819275,79200,716100,1023975,1543228,55183,568247,918838
2021-10-27,6,43,61979205,2976300,23388420,35614485,53508602,1919047,19880020,31695027
2021-10-27,17,43,19112595,961200,7133520,11017875,15704678,555874,5622992,9505315
2021-10-27,9,43,6040955,283800,2391440,3365715,5331905,210419,1912227,3207867
2021-10-27,19,43,4636035,232300,1831700,2572035,3670258,149402,1420311,2100155
2021-10-27,16,43,2416460,126300,952040,1338120,1691184,68735,666594,953509
2021-10-27,55,43,8110185,365500,3157160,4587525,7243291,281334,2709089,4251725
2021-10-27,34,43,14837985,723400,5687480,8427105,12178316,453788,4582484,7141657
2021-10-27,39,43,16117895,763900,6429580,8924415,12811065,511995,4812257,7470035
2021-10-27,10,43,1657815,75100,652100,930615,1290219,51824,484850,752013
2021-10-27,20,43,4179155,211200,1691120,2276835,3291195,110414,1262272,1916900
2021-10-27,41,43,7163565,382300,2828660,3952605,5559310,230663,2019885,3304136
2021-10-27,24,43,10695110,488700,3991820,6214590,8453263,304848,3053848,5082305
2021-10-27,11,43,1296435,59600,497260,739575,1055341,31559,384526,638805
2021-10-27,27,43,8476800,408700,3193460,4874640,7103620,301408,2542184,4257346
2021-10-27,30,43,1446885,86500,605960,754425,1172257,49058,481933,640178
2021-10-27,50,43,1140020,63400,475240,601380,960686,44875,365569,549411
2021-10-27,42,43,20584245,1206700,8262500,11115045,17298592,672683,6652453,9972344
2021-10-27,53,43,12222455,616200,4672760,6933495,10212125,408110,3769701,6026615
2021-10-27,40,43,5303280,264200,2293840,2745240,4428587,124805,1781540,2521358
2021-10-27,31,43,2769970,125900,1039940,1604130,2310092,80664,832864,1391613
2021-10-27,46,43,1313975,71800,545800,696375,1012993,32820,391146,588901
2021-10-27,45,43,7497605,362700,3157280,3977625,5641914,187044,2138485,3314867
2021-10-27,12,43,34931055,1901400,13558860,19470795,28254950,1237410,10389403,16525270
2021-10-27,28,43,4041645,184500,1687500,2169645,2957457,74994,1193710,1686797
2021-10-27,1,43,7123260,326900,3176380,3619980,4805213,142064,2082079,2580913
2021-10-27,51,43,13685285,619000,5098360,7967925,11579358,410548,4064720,7097395
2021-10-27,26,43,14457510,746100,5921340,7790070,11322161,378415,4305952,6636107
2021-10-27,35,43,3196735,156600,1306660,1733475,2785978,97539,1122803,1559955
2021-10-27,48,43,44055335,2170100,16964400,24920835,34149404,1273888,12761044,20112046
2021-10-27,8,43,8829675,397400,3404800,5027475,7617448,280299,2919884,4411623
2021-10-27,33,43,2278770,133100,871540,1274130,1898613,94851,717346,1086353
2021-10-27,18,43,8957570,483100,3357640,5116830,7119183,261071,2554247,4278647
2021-10-27,38,43,1004390,42500,389280,572610,791214,32960,300623,457331
2021-10-27,37,43,15667170,751400,6130720,8785050,12207052,428412,4434073,7343812
2021-10-27,25,43,11741180,509700,4588100,6643380,10300165,343505,3866075,6090019
2021-10-27,13,43,15472285,675700,6398820,8397765,11359371,282845,4465418,6600452
